word,log_odds_ratio
aaos,0.41227
aaron,0.16986
abandon,-0.06557
abandoned,1.0171
abate,0.41227
abbott,-0.19189
abbvie,0.11088
abc,0.54192
abdomen,-0.17028
abdominal,-0.04779
aberdeen,0.41227
aberrant,0.11088
abilities,0.19284
ability,0.05308
abiraterone,0.41227
ablation,-0.28813
able,0.12745
abnormal,-0.11279
abnormalities,-0.09017
abnormality,-0.33075
abnormally,-0.19137
abraham,0.11088
abraxane,0.41227
abroad,-0.19086
absence,-0.03585
absolute,-0.87296
absolutely,-0.23451
absorb,0.15008
absorbable,0.41227
absorbed,0.31864
absorbing,0.41284
absorbs,-0.19086
absorptiometry,-0.06557
absorption,0.23795
abstain,0.11088
abstained,0.41227
abstract,0.41512
abstractly,0.41227
abstracts,0.41227
abundance,0.01382
abuse,-0.35327
academic,0.13542
academy,0.05099
acai,0.41284
accelerate,0.41284
accelerated,0.335
accelerates,0.41227
acceleration,-0.06557
accelerometers,0.41227
accept,0.03899
acceptance,-0.54484
accepted,-0.37014
accepts,0.41284
access,-0.19609
accessible,-0.16401
accident,0.06
accidental,-0.49333
accidentally,-0.49333
accidents,-0.70598
accompanied,-0.1924
accompanies,0.04399
accompany,-0.43497
accompanying,-0.46926
accomplish,0.01382
accomplished,0.11088
according,-0.06568
accordingly,0.28811
account,-0.27477
accounted,-0.40402
accounting,0.20935
accounts,0.25571
accredited,0.71422
accumulate,-0.24288
accumulated,-0.06572
accumulates,-0.06557
accumulating,-0.49333
accuracy,0.2672
accurate,0.17609
accurately,0.15794
accused,0.41227
acetaminophen,-0.43497
acetate,-0.19086
aches,-0.14644
achievable,0.41227
achieve,-0.20957
achieved,-0.09148
achievement,0.01382
achieves,0.11088
achieving,0.19084
aching,0.71572
achy,0.71422
acid,-0.05973
acids,-0.11826
ackerman,0.71422
acknowledge,-0.36767
acknowledged,-0.37265
acknowledges,-0.40402
acquire,0.58985
acquired,0.2677
acquiring,0.71422
acquisition,-0.43497
acronym,0.11088
across,-0.34291
acs,0.28811
act,-0.23089
acted,0.41284
acting,-0.13436
actinic,0.41227
action,-0.08852
actions,-0.24288
activate,-0.06587
activated,0.02674
activates,0.19084
activating,-0.06572
activation,-0.11198
active,-0.01053
activities,-0.12165
activity,0.18473
actonel,-0.06572
actress,0.23639
acts,0.13542
actual,-0.04382
actually,-0.13908
acupressure,0.41227
acupuncture,0.02397
acupuncturist,-0.06572
acute,-0.02009
ad,-0.05337
adam,0.58985
adapt,-0.13302
adapted,0.19084
adapting,-0.06557
adaptive,0.41227
add,-0.19256
added,-0.25985
addicted,-0.19137
addiction,-0.59636
addictive,-0.22701
adding,-0.24421
addition,-0.10484
additional,-0.20499
additionally,0.23717
additive,-0.19086
additives,0.23639
address,-0.29127
addressed,0.04399
addressing,-0.24288
adds,-0.39685
adelaide,0.11088
adenoma,0.41227
adenomas,-0.19086
adenomatous,0.71422
adequate,-0.87296
adequately,-0.24288
adesman,-0.19086
adhd,0.34781
adhered,0.41227
adherence,-0.54484
adhering,-0.06557
adhesive,0.41284
adiponectin,0.41227
adjacent,0.41227
adjunct,-0.13302
adjust,0.06997
adjusted,0.35734
adjusting,-0.46689
adjustment,-0.19086
adjustments,0.41284
adjusts,0.11088
adjuvant,-0.06557
administer,-0.17459
administered,-0.24225
administering,-0.11198
administers,0.11088
administration,-0.23547
admission,-0.06572
admissions,0.04399
admits,0.23639
admitted,-0.25955
adolescence,-0.13302
adolescent,0.30583
adolescents,-0.09456
adopt,-0.19189
adopting,-0.06572
adrenal,0.71422
adrenaline,-0.06557
ads,-0.43497
adult,-0.2777
adulthood,-0.01436
adults,-0.23941
advance,-0.08988
advanced,-0.0123
advancement,-0.19086
advancements,0.41227
advances,-0.00755
advancing,0.19084
advantage,-0.04062
advantages,-0.34496
adverse,-0.42046
adversely,0.41284
advertisement,-0.20045
advertisements,-0.06557
advertising,-0.28813
advice,-0.26987
advise,0.02674
advised,-0.13573
adviser,-0.24288
advises,-0.49726
advising,-0.49333
advisor,-0.28813
advisory,-0.18242
advocacy,-0.23504
advocate,-0.79724
advocates,-0.21909
advocating,-0.28813
aedin,0.11088
aerial,0.41227
aerobic,0.11151
aesthetic,0.11109
affairs,-0.42364
affect,-0.10131
affected,0.16526
affecting,-0.22893
affection,0.41227
affective,0.11088
affects,-0.05129
affiliate,-0.06557
affiliated,-0.09456
afflict,0.11088
afflicted,-0.06557
afflicts,0.23639
afford,-0.59095
affordable,-0.11281
afghanistan,-0.06617
afraid,-0.76885
africa,-0.14365
african,0.01406
afternoon,0.23717
afterward,-0.17459
afterwards,0.04399
ag,0.11236
agave,0.41227
age,-0.12248
aged,-0.02103
ageing,0.11088
agencies,-0.49333
agency,-0.21431
agent,-0.06663
agents,-0.15064
ages,-0.06596
aggression,-0.36767
aggressive,-0.15287
aggressively,-0.25955
aggressiveness,-0.28813
aging,0.03789
ago,-0.04335
agony,0.41227
agree,-0.39482
agreed,-0.29595
agreement,0.03182
agrees,-0.17459
agriculture,0.11109
aha,-0.33075
ahead,-0.08295
ahlquist,0.23639
ahmed,0.41227
ai,0.71422
aid,-0.20957
aided,0.11088
aids,0.06609
ailing,0.41227
ailment,0.71572
ailments,-0.46689
aim,0.13776
aimed,-0.31831
aiming,-0.54484
aimmune,0.11088
aims,-0.19292
air,-0.03155
airborne,0.71422
airplane,-0.19086
airplanes,0.11088
airway,0.20935
airways,0.41512
aisle,-0.36767
akin,0.01382
al,-0.33075
ala,-0.19086
alain,0.11088
alan,-0.19344
alarm,-0.63271
alarming,-0.36767
alarms,-0.59095
albania,-0.10114
albeit,0.11151
albert,-0.02787
alberta,0.06
album,0.41227
alcohol,0.1152
alcoholic,-0.01436
alder,0.41227
alejandro,-0.06557
alendronate,0.11088
alert,-0.15374
alerted,0.41227
alerting,0.11088
alertness,-0.28813
alerts,0.01382
alessandro,0.11088
alex,0.01382
alexander,-0.54484
algae,-0.19086
algeria,-0.10114
algorithm,0.47462
algorithms,0.81356
ali,0.11088
alien,0.41227
alignment,0.11088
alike,0.01382
alive,-0.30604
allegro,0.41227
allen,0.1113
allergan,-0.36767
allergen,0.1113
allergens,-0.06587
allergic,-0.19292
allergies,0.13542
allergist,0.11109
allergy,-0.16105
alleviate,0.15927
alleviated,0.41227
alleviates,0.41284
alleviating,0.41284
alli,0.41227
allow,-0.06139
allowance,0.23639
allowed,0.07867
allowing,0.02921
allows,-0.05909
alloys,0.41227
almonds,-0.36767
almost,-0.20754
alone,-0.32968
along,-0.14147
alongside,-0.87296
alopecia,-0.19086
alpha,0.11151
already,-0.1978
also,-0.12705
alter,-0.43818
altered,-0.11281
altering,-0.40402
alternate,0.19084
alternated,0.41227
alternately,0.41227
alternating,0.41227
alternative,0.07708
alternatives,-0.08473
alters,0.11088
although,-0.27422
alto,-0.28813
altogether,-0.47841
alvaro,0.71422
always,0.03518
alzheimer,0.01785
amanda,-0.12556
amantadine,0.41227
amazed,0.71422
amazing,0.09512
amazon,-0.19086
amber,0.11088
ambiguous,-0.06557
ambulance,-0.49333
america,-0.05109
american,-0.2062
americans,-0.24929
amgen,-0.06587
amherst,0.11088
amino,0.23795
amitriptyline,0.41227
amniocentesis,-0.28813
amniotic,0.71422
amok,0.41227
among,-0.2099
amount,-0.15297
amounts,-0.06139
amoxicillin,-0.06557
amplifications,-0.67085
amplifies,0.11088
amplify,0.11088
amputation,0.58985
amputations,-0.06557
amy,-0.34496
amyloid,-0.17459
ana,0.41227
anacetrapib,0.41227
anal,-0.19086
analgesics,0.41227
analog,-0.06557
analogue,0.41227
analogy,0.41227
analyses,0.15784
analysis,-0.10426
analyst,-0.54716
analysts,-0.15493
analyze,-0.24428
analyzed,-0.0416
analyzes,-0.06587
analyzing,0.06048
anaphylactic,0.11088
anatomy,-0.13302
ancestry,0.11088
ancient,-0.25955
anderson,-0.29254
andme,0.41227
andorra,-0.10114
andre,0.11088
andrea,0.62146
andreas,0.11088
andres,0.11088
andrew,-0.16947
androgen,-0.13302
android,0.71422
andy,-0.28813
anecdotal,-0.33075
anecdotally,0.23639
anemia,-0.06587
anemic,-0.06557
anesthesia,0.26269
anesthesiologist,-0.19086
anesthesiologists,-0.06557
anesthesiology,0.11109
anesthetic,0.15784
aneurysm,0.41227
angela,0.23639
angeles,-0.27144
anger,0.59192
angina,-0.36767
angiography,0.19084
angioplasty,0.06997
angle,-0.13302
angles,0.3167
anglia,0.4134
angola,-0.10114
angry,0.23639
anguilla,-0.10114
animal,-0.13021
animals,-0.33721
animas,0.41227
ankle,0.71572
ankles,-0.28813
ann,0.30583
anna,0.01388
annals,-0.43541
anne,-0.289
anniversary,0.41227
announced,-0.06742
announcement,-0.15374
annual,0.12415
annually,-0.09855
another,-0.21129
ansell,0.41227
answer,-0.13647
answered,-0.79724
answering,-0.19086
answers,-0.33503
anterior,0.23639
anthocyanins,0.23639
anthony,-0.13369
anti,-0.0502
antibiotic,0.15008
antibiotics,0.0043
antibodies,0.06048
antibody,0.014
anticancer,0.01382
anticholinergics,-0.06557
anticipate,-0.19086
anticipated,0.15008
anticipation,0.11109
anticoagulant,0.11088
anticoagulants,0.23639
anticoagulation,0.11088
antidepressant,-0.22466
antidepressants,-0.0671
antifungal,0.41227
antigen,-0.11888
antigens,-0.28813
antigua,-0.10114
antihistamines,-0.43497
antilles,-0.10114
antimicrobial,0.23717
antioxidant,-0.49925
antioxidants,-0.02812
antipsychotic,-0.06557
antipsychotics,0.23639
antiviral,0.2677
antoni,0.11088
antonio,-0.15374
anxiety,0.06101
anxious,0.23874
anybody,-0.33075
anymore,0.01394
anyone,-0.40393
anything,-0.34992
anytime,0.19084
anyway,-0.43818
anywhere,-0.37265
aortic,0.89124
ap,-0.31231
apart,-0.09855
apartment,0.41284
aphrodisiac,0.11088
apixaban,0.41284
apnea,0.04399
apoe,0.41397
app,0.33752
apparent,-0.21447
apparently,-0.24428
appeal,-0.43657
appealing,-0.289
appeals,0.41227
appear,-0.22246
appearance,-0.19189
appeared,-0.19937
appearing,0.4134
appears,-0.05027
appendix,-0.28813
appetite,-0.06648
apple,0.58985
apples,0.335
applicable,-0.22701
application,-0.02812
applications,0.03182
applied,-0.12165
applies,-0.43497
apply,-0.14186
applying,0.07681
appointment,-0.67085
appointments,0.11109
appreciated,0.11088
apprehensive,0.41227
approach,-0.02692
approached,0.16986
approaches,-0.17741
appropriate,-0.36064
appropriately,-0.06572
approval,-0.04837
approvals,0.11088
